GPS_CODE,GPS variables,LOCATION,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
D012,"Class size, primary education",KOR,Korea,2012,2012,PER,Persons,1,Tens,,,25,,
D012,"Class size, primary education",LUX,Luxembourg,2012,2012,PER,Persons,1,Tens,,,16,,
D012,"Class size, primary education",MEX,Mexico,2012,2012,PER,Persons,1,Tens,,,20,,
D012,"Class size, primary education",NLD,Netherlands,2012,2012,PER,Persons,1,Tens,,,23,f,This value has a note in the original table
D012,"Class size, primary education",NZL,New Zealand,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",NOR,Norway,2012,2012,PER,Persons,1,Tens,,,,a,Not applicable
D012,"Class size, primary education",POL,Poland,2012,2012,PER,Persons,1,Tens,,,18,,
D012,"Class size, primary education",PRT,Portugal,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",SVK,Slovak Republic,2012,2012,PER,Persons,1,Tens,,,17,,
D012,"Class size, primary education",ESP,Spain,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",SWE,Sweden,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",CHE,Switzerland,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",TUR,Turkey,2012,2012,PER,Persons,1,Tens,,,24,,
D012,"Class size, primary education",GBR,United Kingdom,2012,2012,PER,Persons,1,Tens,,,25,,
D012,"Class size, primary education",USA,United States,2012,2012,PER,Persons,1,Tens,,,21,,
D012,"Class size, primary education",ARG,Argentina,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",BRA,Brazil,2012,2012,PER,Persons,1,Tens,,,24,,
D012,"Class size, primary education",CHL,Chile,2012,2012,PER,Persons,1,Tens,,,30,,
D012,"Class size, primary education",CHN,China (People's Republic of),2012,2012,PER,Persons,1,Tens,,,38,,
D012,"Class size, primary education",COL,Colombia,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",EST,Estonia,2012,2012,PER,Persons,1,Tens,,,17,,
D012,"Class size, primary education",IND,India,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",IDN,Indonesia,2012,2012,PER,Persons,1,Tens,,,23,,
D012,"Class size, primary education",ISR,Israel,2012,2012,PER,Persons,1,Tens,,,27,,
D012,"Class size, primary education",LVA,Latvia,2012,2012,PER,Persons,1,Tens,,,16,,
D012,"Class size, primary education",RUS,Russia,2012,2012,PER,Persons,1,Tens,,,18,,
D012,"Class size, primary education",SAU,Saudi Arabia,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",SVN,Slovenia,2012,2012,PER,Persons,1,Tens,,,19,,
D012,"Class size, primary education",ZAF,South Africa,2012,2012,PER,Persons,1,Tens,,,,m,Missing value
D012,"Class size, primary education",OAVG,OECD - Average,2012,2012,PER,Persons,1,Tens,,,21,,
D013,"Ratio of students to teaching staff, tertiary education",AUS,Australia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",AUT,Austria,2012,2012,RATIO,Ratio,1,Tens,,,17,,
D013,"Ratio of students to teaching staff, tertiary education",BEL,Belgium,2012,2012,RATIO,Ratio,1,Tens,,,21,f,This value has a note in the original table
D013,"Ratio of students to teaching staff, tertiary education",CAN,Canada,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",CZE,Czech Republic,2012,2012,RATIO,Ratio,1,Tens,,,21,,
D013,"Ratio of students to teaching staff, tertiary education",DNK,Denmark,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",FIN,Finland,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D013,"Ratio of students to teaching staff, tertiary education",FRA,France,2012,2012,RATIO,Ratio,1,Tens,,,16,f,This value has a note in the original table
D013,"Ratio of students to teaching staff, tertiary education",DEU,Germany,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D013,"Ratio of students to teaching staff, tertiary education",GRC,Greece,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",HUN,Hungary,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D013,"Ratio of students to teaching staff, tertiary education",ISL,Iceland,2012,2012,RATIO,Ratio,1,Tens,,,11,f,This value has a note in the original table
D013,"Ratio of students to teaching staff, tertiary education",IRL,Ireland,2012,2012,RATIO,Ratio,1,Tens,,,19,,
D013,"Ratio of students to teaching staff, tertiary education",ITA,Italy,2012,2012,RATIO,Ratio,1,Tens,,,19,f,This value has a note in the original table
D013,"Ratio of students to teaching staff, tertiary education",JPN,Japan,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",KOR,Korea,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",LUX,Luxembourg,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",MEX,Mexico,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D013,"Ratio of students to teaching staff, tertiary education",NLD,Netherlands,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D013,"Ratio of students to teaching staff, tertiary education",NZL,New Zealand,2012,2012,RATIO,Ratio,1,Tens,,,18,,
D013,"Ratio of students to teaching staff, tertiary education",NOR,Norway,2012,2012,RATIO,Ratio,1,Tens,,,9,,
D013,"Ratio of students to teaching staff, tertiary education",POL,Poland,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D013,"Ratio of students to teaching staff, tertiary education",PRT,Portugal,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D013,"Ratio of students to teaching staff, tertiary education",SVK,Slovak Republic,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D013,"Ratio of students to teaching staff, tertiary education",ESP,Spain,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D013,"Ratio of students to teaching staff, tertiary education",SWE,Sweden,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D013,"Ratio of students to teaching staff, tertiary education",CHE,Switzerland,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",TUR,Turkey,2012,2012,RATIO,Ratio,1,Tens,,,20,,
D013,"Ratio of students to teaching staff, tertiary education",GBR,United Kingdom,2012,2012,RATIO,Ratio,1,Tens,,,20,,
D013,"Ratio of students to teaching staff, tertiary education",USA,United States,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D013,"Ratio of students to teaching staff, tertiary education",ARG,Argentina,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",BRA,Brazil,2012,2012,RATIO,Ratio,1,Tens,,,27,,
D013,"Ratio of students to teaching staff, tertiary education",CHL,Chile,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",CHN,China (People's Republic of),2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",COL,Colombia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",EST,Estonia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",IND,India,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",IDN,Indonesia,2012,2012,RATIO,Ratio,1,Tens,,,31,,
D013,"Ratio of students to teaching staff, tertiary education",ISR,Israel,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",LVA,Latvia,2012,2012,RATIO,Ratio,1,Tens,,,20,,
D013,"Ratio of students to teaching staff, tertiary education",RUS,Russia,2012,2012,RATIO,Ratio,1,Tens,,,12,f,This value has a note in the original table
D013,"Ratio of students to teaching staff, tertiary education",SAU,Saudi Arabia,2012,2012,RATIO,Ratio,1,Tens,,,21,,
D013,"Ratio of students to teaching staff, tertiary education",SVN,Slovenia,2012,2012,RATIO,Ratio,1,Tens,,,18,,
D013,"Ratio of students to teaching staff, tertiary education",ZAF,South Africa,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D013,"Ratio of students to teaching staff, tertiary education",OAVG,OECD - Average,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D014,"Ratio of students to teaching staff, pre-primary education",AUS,Australia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",AUT,Austria,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D014,"Ratio of students to teaching staff, pre-primary education",BEL,Belgium,2012,2012,RATIO,Ratio,1,Tens,,,16,f,This value has a note in the original table
D014,"Ratio of students to teaching staff, pre-primary education",CAN,Canada,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",CZE,Czech Republic,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D014,"Ratio of students to teaching staff, pre-primary education",DNK,Denmark,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",FIN,Finland,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D014,"Ratio of students to teaching staff, pre-primary education",FRA,France,2012,2012,RATIO,Ratio,1,Tens,,,22,f,This value has a note in the original table
D014,"Ratio of students to teaching staff, pre-primary education",DEU,Germany,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D014,"Ratio of students to teaching staff, pre-primary education",GRC,Greece,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",HUN,Hungary,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D014,"Ratio of students to teaching staff, pre-primary education",ISL,Iceland,2012,2012,RATIO,Ratio,1,Tens,,,6,f,This value has a note in the original table
D014,"Ratio of students to teaching staff, pre-primary education",IRL,Ireland,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",ITA,Italy,2012,2012,RATIO,Ratio,1,Tens,,,12,f,This value has a note in the original table
D014,"Ratio of students to teaching staff, pre-primary education",JPN,Japan,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D014,"Ratio of students to teaching staff, pre-primary education",KOR,Korea,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D014,"Ratio of students to teaching staff, pre-primary education",LUX,Luxembourg,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D014,"Ratio of students to teaching staff, pre-primary education",MEX,Mexico,2012,2012,RATIO,Ratio,1,Tens,,,25,,
D014,"Ratio of students to teaching staff, pre-primary education",NLD,Netherlands,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D014,"Ratio of students to teaching staff, pre-primary education",NZL,New Zealand,2012,2012,RATIO,Ratio,1,Tens,,,7,,
D014,"Ratio of students to teaching staff, pre-primary education",NOR,Norway,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",POL,Poland,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D014,"Ratio of students to teaching staff, pre-primary education",PRT,Portugal,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D014,"Ratio of students to teaching staff, pre-primary education",SVK,Slovak Republic,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D014,"Ratio of students to teaching staff, pre-primary education",ESP,Spain,2012,2012,RATIO,Ratio,1,Tens,,,13,,
D014,"Ratio of students to teaching staff, pre-primary education",SWE,Sweden,2012,2012,RATIO,Ratio,1,Tens,,,6,,
D014,"Ratio of students to teaching staff, pre-primary education",CHE,Switzerland,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",TUR,Turkey,2012,2012,RATIO,Ratio,1,Tens,,,21,,
D014,"Ratio of students to teaching staff, pre-primary education",GBR,United Kingdom,2012,2012,RATIO,Ratio,1,Tens,,,19,,
D014,"Ratio of students to teaching staff, pre-primary education",USA,United States,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D014,"Ratio of students to teaching staff, pre-primary education",ARG,Argentina,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",BRA,Brazil,2012,2012,RATIO,Ratio,1,Tens,,,17,,
D014,"Ratio of students to teaching staff, pre-primary education",CHL,Chile,2012,2012,RATIO,Ratio,1,Tens,,,22,,
D014,"Ratio of students to teaching staff, pre-primary education",CHN,China (People's Republic of),2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",COL,Colombia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",EST,Estonia,2012,2012,RATIO,Ratio,1,Tens,,,7,,
D014,"Ratio of students to teaching staff, pre-primary education",IND,India,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",IDN,Indonesia,2012,2012,RATIO,Ratio,1,Tens,,,26,,
D014,"Ratio of students to teaching staff, pre-primary education",ISR,Israel,2012,2012,RATIO,Ratio,1,Tens,,,27,,
D014,"Ratio of students to teaching staff, pre-primary education",LVA,Latvia,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D014,"Ratio of students to teaching staff, pre-primary education",RUS,Russia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",SAU,Saudi Arabia,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D014,"Ratio of students to teaching staff, pre-primary education",SVN,Slovenia,2012,2012,RATIO,Ratio,1,Tens,,,9,,
D014,"Ratio of students to teaching staff, pre-primary education",ZAF,South Africa,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D014,"Ratio of students to teaching staff, pre-primary education",OAVG,OECD - Average,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D015,"Ratio of students to teaching staff, primary education",AUS,Australia,2012,2012,RATIO,Ratio,1,Tens,,,16,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",AUT,Austria,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D015,"Ratio of students to teaching staff, primary education",BEL,Belgium,2012,2012,RATIO,Ratio,1,Tens,,,13,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",CAN,Canada,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",CZE,Czech Republic,2012,2012,RATIO,Ratio,1,Tens,,,19,,
D015,"Ratio of students to teaching staff, primary education",DNK,Denmark,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",FIN,Finland,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D015,"Ratio of students to teaching staff, primary education",FRA,France,2012,2012,RATIO,Ratio,1,Tens,,,19,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",DEU,Germany,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D015,"Ratio of students to teaching staff, primary education",GRC,Greece,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",HUN,Hungary,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D015,"Ratio of students to teaching staff, primary education",ISL,Iceland,2012,2012,RATIO,Ratio,1,Tens,,,10,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",IRL,Ireland,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D015,"Ratio of students to teaching staff, primary education",ITA,Italy,2012,2012,RATIO,Ratio,1,Tens,,,12,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",JPN,Japan,2012,2012,RATIO,Ratio,1,Tens,,,18,,
D015,"Ratio of students to teaching staff, primary education",KOR,Korea,2012,2012,RATIO,Ratio,1,Tens,,,18,,
D015,"Ratio of students to teaching staff, primary education",LUX,Luxembourg,2012,2012,RATIO,Ratio,1,Tens,,,9,,
D015,"Ratio of students to teaching staff, primary education",MEX,Mexico,2012,2012,RATIO,Ratio,1,Tens,,,28,,
D015,"Ratio of students to teaching staff, primary education",NLD,Netherlands,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D015,"Ratio of students to teaching staff, primary education",NZL,New Zealand,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D015,"Ratio of students to teaching staff, primary education",NOR,Norway,2012,2012,RATIO,Ratio,1,Tens,,,10,,
D015,"Ratio of students to teaching staff, primary education",POL,Poland,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D015,"Ratio of students to teaching staff, primary education",PRT,Portugal,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D015,"Ratio of students to teaching staff, primary education",SVK,Slovak Republic,2012,2012,RATIO,Ratio,1,Tens,,,17,,
D015,"Ratio of students to teaching staff, primary education",ESP,Spain,2012,2012,RATIO,Ratio,1,Tens,,,13,,
D015,"Ratio of students to teaching staff, primary education",SWE,Sweden,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D015,"Ratio of students to teaching staff, primary education",CHE,Switzerland,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",TUR,Turkey,2012,2012,RATIO,Ratio,1,Tens,,,20,,
D015,"Ratio of students to teaching staff, primary education",GBR,United Kingdom,2012,2012,RATIO,Ratio,1,Tens,,,21,,
D015,"Ratio of students to teaching staff, primary education",USA,United States,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D015,"Ratio of students to teaching staff, primary education",ARG,Argentina,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",BRA,Brazil,2012,2012,RATIO,Ratio,1,Tens,,,22,,
D015,"Ratio of students to teaching staff, primary education",CHL,Chile,2012,2012,RATIO,Ratio,1,Tens,,,22,,
D015,"Ratio of students to teaching staff, primary education",CHN,China (People's Republic of),2012,2012,RATIO,Ratio,1,Tens,,,17,,
D015,"Ratio of students to teaching staff, primary education",COL,Colombia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",EST,Estonia,2012,2012,RATIO,Ratio,1,Tens,,,13,,
D015,"Ratio of students to teaching staff, primary education",IND,India,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",IDN,Indonesia,2012,2012,RATIO,Ratio,1,Tens,,,25,,
D015,"Ratio of students to teaching staff, primary education",ISR,Israel,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D015,"Ratio of students to teaching staff, primary education",LVA,Latvia,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D015,"Ratio of students to teaching staff, primary education",RUS,Russia,2012,2012,RATIO,Ratio,1,Tens,,,20,f,This value has a note in the original table
D015,"Ratio of students to teaching staff, primary education",SAU,Saudi Arabia,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D015,"Ratio of students to teaching staff, primary education",SVN,Slovenia,2012,2012,RATIO,Ratio,1,Tens,,,16,,
D015,"Ratio of students to teaching staff, primary education",ZAF,South Africa,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D015,"Ratio of students to teaching staff, primary education",OAVG,OECD - Average,2012,2012,RATIO,Ratio,1,Tens,,,15,,
D016,"Ratio of students to teaching staff, lower secondary education",AUS,Australia,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D016,"Ratio of students to teaching staff, lower secondary education",AUT,Austria,2012,2012,RATIO,Ratio,1,Tens,,,9,,
D016,"Ratio of students to teaching staff, lower secondary education",BEL,Belgium,2012,2012,RATIO,Ratio,1,Tens,,,8,f,This value has a note in the original table
D016,"Ratio of students to teaching staff, lower secondary education",CAN,Canada,2012,2012,RATIO,Ratio,1,Tens,,,16,f,This value has a note in the original table
D016,"Ratio of students to teaching staff, lower secondary education",CZE,Czech Republic,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D016,"Ratio of students to teaching staff, lower secondary education",DNK,Denmark,2012,2012,RATIO,Ratio,1,Tens,,,12,,
D016,"Ratio of students to teaching staff, lower secondary education",FIN,Finland,2012,2012,RATIO,Ratio,1,Tens,,,9,,
D016,"Ratio of students to teaching staff, lower secondary education",FRA,France,2012,2012,RATIO,Ratio,1,Tens,,,15,f,This value has a note in the original table
D016,"Ratio of students to teaching staff, lower secondary education",DEU,Germany,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D016,"Ratio of students to teaching staff, lower secondary education",GRC,Greece,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D016,"Ratio of students to teaching staff, lower secondary education",HUN,Hungary,2012,2012,RATIO,Ratio,1,Tens,,,11,,
D016,"Ratio of students to teaching staff, lower secondary education",ISL,Iceland,2012,2012,RATIO,Ratio,1,Tens,,,11,f,This value has a note in the original table
D016,"Ratio of students to teaching staff, lower secondary education",IRL,Ireland,2012,2012,RATIO,Ratio,1,Tens,,,,m,Missing value
D016,"Ratio of students to teaching staff, lower secondary education",ITA,Italy,2012,2012,RATIO,Ratio,1,Tens,,,12,f,This value has a note in the original table
D016,"Ratio of students to teaching staff, lower secondary education",JPN,Japan,2012,2012,RATIO,Ratio,1,Tens,,,14,,
D016,"Ratio of students to teaching staff, lower secondary education",KOR,Korea,2012,2012,RATIO,Ratio,1,Tens,,,18,,
